username,text,likes
givergete,"Vejo sua filha, sinto um aperto. Inimaginável ficar sem a tinha q tbm tem 5 anos.",
givergete,@givergete *minha,1
_gabibpc,"@givergete Eu tbm me sinto assim, Isabella é um ferida no peito que todas nós mães temos mesmo sem nunca ter perdido um filho. Eu nunca vou conseguir entender pq isso aconteceu com ela.",
givergete,@_gabibpc me perguntei isso nesse momento. Pq????????,1
nel_fe,"@_gabibpc , a gente fica se perguntando isso mesmo. Uma criança inocente, de apenas cinco anos, por que fizeram isso com ela? Não dá pra entender. 😢",
souzaezehane,"@givergete Aconteceu a mesma coisa comigo. Na é poca minha filha Isabelly tinha 5 anos. Eu fiquei em choque, bateu uma angústia e uma dorno peito. Foi muito triste ver essa mãe passar por aquilo. E até hoje lembro com o coração na mão. Na época eu também era separada e minha filha ficava vom o pai nos finais de semana. Eu comecei a ir na casa dele no sábado e domingo. Falava que só estava perto resolvi vê -la. Mexeu muito com meu psicológico.",
claudinhadagi,@givergete Ela tem uma força absurda né? Graças a Deus. Pq realmente é difícil de imaginar uma perda dessa😢,1
dryfonseca3,@_gabibpc eu entendo como um propósito na vida da Ana Carolina 😢😢😢 Deus tem um propósito....,
annymandarino,Isa 🌟você era única um ser de luz especial saudades eternas 😢Força mamãe tu é um ser de garra e coragem .Que sua luz continue iluminando nossas vidas .❤️🙏,1
maryfigueirandes,Ah que saudade do abraço do meu filho senhor. 8 meses sem ele. Perder um filho é uma dor q não tem nome . Dói como se tivesse rasgando o peito😭😭😭😭,
sandrabrito798,"@maryfigueirandes oh querida que o todo Deus acalente e te abrace tirando toda dor ,que fique somente o amor em seu ser ,mas não a dor viu ,Deus t abençoe abundantemente 🙌,fica bem na graça e paz d Cristo Jesus e todos aqueles que perderam um pedaço d si",
nadianidiasfotografia_,"Acho o sorriso da Maria Alice da Virgínia um pouco parecido com o dela, sempre lembro dela quando vejo a Maria rindo",
sarasalles_sales__,"@nadianidiasfotografia_ vdd viu,lembra msm!",
elenaconfeiteira,"😢parece que essa dor é nossa, mas é aquilo quando uma mãe perde um filho todas nós perdemos, e da forma que foi, fica mais dolorido ainda",1
rosanaoliveira2348,@elenaconfeit concordo,
marciamonik,"@anacarolinaoliveira_oficial quando Isa morreu dia 29 de março de 2008 eu estava grávida de 09 meses , meu filho nasceu 10 de abril, e eu nunca esqueço essa data , qnd eu via vc, eu te abraçava mentalmente ❤️",
vanessa_souza_30,"@marciamonik eu tbm estava grávida,de 4 meses e senti como se fosse uma pessoa da minha família, e dói até hj...😢",1
silva_.anelise,@marciamonik dói tanto na gente né. 😭,
marciamonik,"@silva_.anelise misericórdia, corta o coração",
gaby_sgrigoleti,"Ontem me peguei pensando na Isa,na época que tudo aconteceu eu tinha 7 anos e hoje tenho 24 e lembrei que ela faria 23,me peguei emocionada e pensando em tantas coisas que ela poderia estar vivendo, Ana mãezinha que nos dias de saudade Deus possa te consolar ❤️ somente Ele pode te dar a força necessária,sinta se abraçada 😢",
oliveira_021xx,Muito triste a história da Isabela 😞😭,1
annacarolinecarol_,"Ela é muito linda!!! Viva a Isabella, maravilhosa,queria muito que tivesse mais fotos e mais vídeos.....",
juu_slima,Que vídeo lindo me emocionei ❤️,1
engelmann_thais,😢😢😢😢,
dai_ackles,"Lindo vídeo, essa linda anjinha está cuidando de vc lá do céu",1
giovannapanelli,❤️,
tond_tai,Isa tao bella ❤️,6
bete7479,A vida pode ser prolongada para muitas de nós mães mais nos igualamos todas quando uma perde um filho. Essa dor é será infinita quando choramos Maria mãe de Deus chora e o céu rasga 😢😢💔,
blesssemijoias_,"Ah, meu Deus! Isso dói na alma.😭",
maria_helenabrm2,Deus nos livre desta dor 💔💔💔,1
naiaracrisribeiro,Aiiiii❤️,
duartedeboraribeiro,Essa é a história que nos comoveu de certa forma na época lembro que chorei muito vendo a notícia na TV sonhei com ela várias vezes sem ao menos conhecer ou ter qual quer tipo de contato hoje sou mãe sei como é vc amar além do infinito onde ela estiver sempre será lembrada com muito carinho por uma nação que há conheceu de forma trágica mais um anjo que deixou um legado aqui na terra 😢 até hoje eu me emociono quando vejo a fotinha dela Isabella sempre será lembrada,
rogerioarinalis,Chorei junto com essa mãe...E até hoje ainda choro 😢,
annacarolinecarol_,Viva santinha Isabella ! Vivaaaaa.,
joelpinheiro122,@oliveira_021xx infelizmente os que mataram ela estão vivos,
luziah_cristinaoliboni,@oliveira_021xx sim😢 e se vc ver a dra Beatriz falando sobre mds !,1
dai_ackles,"Lindo vídeo, essa linda anjinha está cuidando de vc lá do céu",6
tond_tai,Isa tao bella ❤️,
bete7479,A vida pode ser prolongada para muitas de nós mães mais nos igualamos todas quando uma perde um filho. Essa dor é será infinita quando choramos Maria mãe de Deus chora e o céu rasga 😢😢💔,1
maria_helenabrm2,Deus nos livre desta dor 💔💔💔,
psicologatamiresalencar,Eu tbm🥺,356
isabella.myprincess__,😍❤️,148
nadiacris_mendes,uma dor na alma 😭😭😭,
cantigas.isa,Sdds dessa bonecaaa,
_e.aamaro,😭😭😭,
siyrxkrr6685,Vc foi a melhor mãe que a Isa pôde ter ela deve ter agradecido a Deus por ter te escolhido,
thaysgomes_21,"Sim… sentimos um aperto no peito, a gente que é mãe e tem seus filhos por perto, nem imaginam a imensidão dessa dor, só de imaginar já dói e muito.",1
isabella__nardoni,Saudade que nunca passa 💔,
michellebolsonaro,😢,
marciodalanoficial,"A pequena Isabella vive em cada um de nós, o que houve com ela de uma maneira tão covarde nos faz pensar que poderia ter acontecido com qualquer um de nós e todos nós sofremos até hoje com este ato covarde que merece penas mais severas e que sejam cumpridas até o final, sem regalias para assassinos covardes.",23
twin_towers_wtc_,Era tão linda 💔😢,
twin_towers_wtc_,Que lindo ❤️ seria um sonho,
mariarodrigues58_,"A issabella é um pouquinha nossa, pois a cada publicação sua dói o coração, pela maneira que ela se foi, você Ana Carolina, és uma guerreira Deus te abençoe 😢💔❤️",
rina_nascimento,Hoje o Brasil tbm te abraça 🙌💔❤️,
adriana_novais5591,Não é a Isabela é a irmã dela por meio de inteligência artificial🔥,1
rosanaoliveira2348,Concordo,1
thaysgomes_21,"Sim… sentimos um aperto no peito, a gente que é mãe e tem seus filhos por perto, nem imaginam a imensidão dessa dor, só de imaginar já dói e muito.",
michellebolsonaro,😢,23
mavie_petitefleur,@michellebolsonaro linda! Querida! Te abençoe grandemente!,
patricia.3777,"@michellebolsonaro,oi,minha lindaaaaa!!!❤️❤️",
lais_liiz,@michellebolsonaro 😭❤️,
ticibezerraneves,@michellebolsonaro Vc e a Janja nem devia comentar aqui. Vai politizar e enfraquecer a causa por causa da guerra poltiica,
flaviojuniorbiersack,@ticibezerraneves vc e burra ou se faz 🤣,1
taty_batista2014,@ticibezerraneves nada haver... Sem noção!!!🤡,
ticibezerraneves,@taty_batista2014 Se for chorar manda áudio gado do INELEGÍVEL.,
ticibezerraneves,"Flávio, Se for chorar gado do INELEGÍVEL manda áudio.",
eu_sarasantos,@ticibezerraneves só você está politizando.,1
flaviojuniorbiersack,@ticibezerraneves si vc q estar politizando 😂,
marciodalanoficial,"A pequena Isabella vive em cada um de nós, o que houve com ela de uma maneira tão covarde nos faz pensar que poderia ter acontecido com qualquer um de nós e todos nós sofremos até hoje com este ato covarde que merece penas mais severas e que sejam cumpridas até o final, sem regalias para assassinos covardes.",
ellenaraujo7826,@marciodalanoficial 🙌😭🥺,183
mariarodrigues58_,"A issabella é um pouquinha nossa, pois a cada publicação sua dói o coração, pela maneira que ela se foi, você Ana Carolina, és uma guerreira Deus te abençoe 😢💔❤️",31
adriana_novais5591,Não é a Isabela é a irmã dela por meio de inteligência artificial🔥,
caririaldeni,"O que aconteceu com essa garotinha comoveu o Brasil inteiro. Todos nós mesmo sem conhecer vc (Ana Carolina e ela). Tive a oportunidade de conhecer vc agora quando em campanha política, pois vc passou numa loja que temos (eu e minha esposa) na Vila Maria/Avenida Alberto Byington) Desejo a vc todo o sucesso do mundo. Que Deus lhe abençoe.",
lanafkl,Essa é Isabela?lindaa,
luapellegrino,🥹🥺,1
osmarina6113,Nois sentimos muito por tudo sinta sim abrasanda por mim Deus abençoe sempre sua família,
osmarina6113,💔,
osmarina6113,😭💔,
waithsr,🥹💔🥹,
eternaisabella_,❤,
ana_anoca,❤️❤️❤️❤️❤️❤️,9
oliviasantos_29,😢😢💝🥹,
rosangela_ribeiropbshotmail.co,😍😍😍,
jonas_cherubini_,☝️☝️,
jessimribeiro,Emocionante ♥️,161
caseiroingleses,💔😭😭😭😭,
draliz_miranda,Um anjo!!!! ❤️,
isabella.myprincess__,Ela te ama caroll,
mariaconceicaoalbuquerquega,Mds..😭😭😭😭😭,6
isabella.myprincess__,Saudadess🥹🥹😭😭,
isabella.myprincess__,Infinito esse amor que temos por ela,
anacarolina_isabella,"Saudades eterna, princesa...",1
arianny.pink,"Que o Senhor continue sempre a te dar forças e te abraçando todos os dias, cuidando do seu coração. Vc é uma mulher admirável, Ana 🥺♥️",
elianethomaz.executivaloovi,"Isa, Bella, Isabella 💜💜💜",
isabella.myprincess__,Saudades meu amor,
aline_veloso_1991,"É uma mistura de dor e saudade 😥 A minha filha não está em outro plano igual a Isabela, mas a dois anos eu não a vejo, não abraço, as vezes que fui atrás fui rejeitada, sigo até hoje sem entender . A sensação que eu tenho em relação a ela é de que estou em um barco, e não consigo remar para sair do lugar, pois eu já fiz de tudo. Agora é só o tempo para por as coisas no lugar. Mas a saudade e a dor que sinto, me acompanha todos os dias.",
adacrisck,🤍😇🌸,3
rejane_wenceslau,Isabela mesmo sorriso da minha filha quando pequena hoje está com 25,
fagundess10_,Lindas❤️❤️❤️🕊️🔥,
lucia.vieira.50,Q dor 😭😭😭,3
silva.julianafariada,😍❤️,
mariavieiradesouza54,😢😢😢❤️❤️,
damanuoficial,🥹🥹🥹,
cantigas.isa,Aaaa juroo,
luanaespindolaofc,😢😢😢😢,1
droppaamanda,❤️‍🩹❤️‍🩹❤️‍🩹,
silviasrohrig,😢💔,
suelitheophilo,😢 do meu filho Bruno que desencarnou em 2.012,45
evidence_liliane,😢,
evidence_liliane,"Misericórdia, meu coração chega a doer 😭",
mercia_lima11,❤️,2
angelica_cason,Dos meus avôs 😢😢,
ana_raquelrodrigues,😢,
vanusalife,😭😭😭,2
vanusalife,Dói muito💔,
costa_3101,😭😢,
andreafranca,😢💔,1
lann_staia9,😭😭,
fernandahelenaalvesoa,Sensação é chorar muito,
fernandahelenaalvesoa,Emocionante não tem como esquecer Isabela,46
beautestudiodebeleza,"Dói no meu peito, eu que nunca a conheci. Posso imaginar em você ! Força guerreira, um dia estarão juntas novamente ❤️",
cjosefa351,💔,
xeirusssefragrancias_,"Todos nós temos um pouquinho da Isabella em nossos corações maternos! A história da menina, que nunca entenderemos seu final... Bella, vive em nós!!!",1
mada_sobrancelhaecilios,😢,
rodil.is,Que vontade de abraçar meu filho anjo😭,29
reginasilvacarvalhoo,Parece real,
aparecida.assis.1884,💔😭😭😭,
jamylebarros,😢😢,1
arielysexshop,😢,
alinemarquesks,😭😭,
margarethgeitzenauer,Como é cruel a saudades neh Carolina e uma dor sem fim ela estaria sendo sua companheiro na agora Grande,1
marlifreeitas,"Eu como mãe sinto muito Carol por tudo que houve com sua princesa, muito lamentável que exista ""pai"" tão sem amor.😔",
gabiferraz_silva,😢❤️❤️❤️❤️,
marcia_tavares.santos,😢,
luzdivinna_,Um abraço pra sempre! Quem é mãe sabe.😢😭,
katiamariasouto,😢,22
penelopeloveyou2011oficial,Foi realmente uma crueldade fazer isso com uma menina tão doce e linda 😢,
tereza.araujo01,Se estivesse viva teria a idade de minha filha hoje!,
darci_lobo,Ceifaram sua vida Isabela 😢😢😢,52
mmargarida_martins,💔,
raquel_cupuacu,😭aí jesus caiu um cisco no meu olho,
thagallina,😭😭😭💔,
samillynunesp,🥺❤️,
mara_barros15,😢😢😢😢😢💔💔💔💔💔💔💔,
leane777ls,💔,
claudienemorais1,"Posso te jurar que a sensação de quem acompanha e acompanho essa história é a mesma , sentimos falta da Isabella mesmo sem nunca ter conhecido ela pessoalmente! Você @anacarolinaoliveira_oficial e uma das mulheres mais forte que eu já vi ❤️",5
queren01,💔💔,
familiaeconomicapromocoes,Minha princesa se chama Isabela em homenagem a sua. E é uma sapequinha TB. Meu coração fica partido sempre q vejo a sua. Deus te abençoe guerreira,
familiaeconomicapromocoes,Esse vídeo não tem fimmm... 😭😭😭 Isabela está nos braços de Jesus🙌,13
josenetede,🥺🥺🥺,
mikaelle_sousaa,😭😭,
manuelromao,😢😢😢😢,2
solange_correia_55,😢,
pamelacristina_moreti,🥺🥺😭😭,3
rosangela_pazp,❤️😢💔,
dominichelligiovana,"Se doeu em mim esse vídeo , imagine nessa mãe 😢😭",
guzanskypamela,Tem que haver mudanças na legislação do País!,2
_naiiarasantos,😭,
erikaraquelima,😭 tão triste isso.,6
leda_santo_,😭😭😭💔💔❤️❤️,
lurdes.dasilva.50999,Dói no coração 💔❤️,1
texeira3291,😭😭😭,
lavineeva,Que saudade né mãezinha?😍❤️,
florindagcordeiro,Dói demais😭,1
vandavieira08,😢🙌,
ricardosantos3004,Uma dor que eu não suportaria..😢,
angelaherden,😢,6
marilenafeitosa1,😭😭,
drarafaellagomes,😭😭😭😭😭😭😭,
rikellesantos7,Que lindo 💔😢,4
santaremcatia,❤️😢,
melinamonteiro88,❤️❤️❤️❤️❤️,10
samyaorsano_,😢😢😢💔,
kaproietti74,"Queria saber o que passa na cabeça desse cara, que não tem como ser chamado de pai.",
kaproietti74,😢,
mariacardk12,💔💔💔😭😭😭😭,1
evellynro,"Nossa, ver teus vídeos com essa pequena que o mundo inteiro conheceu, me deixa com o coração partido demais, por mais que passe anos e anos esse amor deve ser tão quentinho em teu coração, se nosso como mães chega arder, no seu deve ser imensurável esta dor....Força Força Força porque não é fácil acordar e lembrar todos os dias, ela é um anjo lindoooo, eu vejo minha pequena aqui brincando e perco as forças até de brigar com ela por alguma artesinha que ela apronta, se soubéssemos de tudo que acontecerá ou aconteceria, evitariamos muitas coisas, mais tenho a plena convicção que só a cabe a Deus, saber de todas as coisas e assim vivemos na esperança de um dia melhor....Na verdade, na esperança de que um dia, todos nós iremos nos reencontrar no lugar Celestial ao lado do Senhor Jesus, Nosso Deus!! Um abraço apertado minha querida, Força de Deus na sua vida e em bênçãos em todos os seus projetos que são lindos🙏🙏",
clementezilda,Saudade eterna 😢💔,
lari_vetrack,😢,4
rozieneteles,😢,
cleide_silva_0245,❤️❤️👼,1
biiah_rp,"Que dor, mdss ... 😢💔",
biiah_rp,"N consigo sair do video, o abraço tão esperado 😢",4
brechonaftalinatibaiabr,A maior dor do mundo!,
jaquelinebelmonte,😭😭😭😭😭,1
anasheylanunes,😢 tão linda!!,
melo2351,🥺🥺🥺,
rochasantos.adriana,😭😭😭😭,1
luanalarissa122,😢❤️,
jesua_assuncao_,Só quem é mãe e mãe de verdade sente essa empatia 🥺❤️,16
janedias1961,Eu senti esse abraço aqui ! 🥹💔,
gracemoura_,🥹🥹❤️❤️,
jessikynhaninin,😭😭,
catialopes3739,A estrelinha mais linda! ❤️🌟,3
nascimentocacau31,Do meu filho 😭,
marialuiza.duarte.35,💔😭,
niegemallol,"Quando a Isabella partiu eu estava grávida do meu filho. Chorei demais, por meses, sempre que eu via alguma foto dela. Chorava todos os dias quando ía pro trabalho pq passava bem na frente do prédio onde tudo aconteceu. Se pra gente foi difícil, nem posso imaginar pra Ana... Ela é uma guerreira, pq eu acho que não seria forte o suficiente pra seguir minha vida depois de uma tragédia dessa dimensão 💔",1
anaflaviadasilvaborge,😭😭😭😭😭,
marli.cleuza,Não dá pra acreditar que o pai q,
marli.cleuza,"Quanta covardia o pai e a madrasta tira a vida dessa criança inocente, mas ela está no céu. Coitado desse infeliz e dessa madrasta eles nunca vai ter paz porque Deus é justiça. 😢",397
marciabvieira3,😢,
daniela.linhares.98,❤️❤️❤️,10
delmaracarregosa,Minha Williane 😭😭😭. Saudades sem fim 🖤💔,
linetecorreiaa_,😭😭😭😭😭😭😭💔💔💔💔💔,
marafontinelle.adv,Meu coração fica 💔,4
ingrid_paesleme,Tão linda 💔😭,
janainabarros368,Caramba é I.A? Que emoção Ana...❤️,2
cleadejesussantos,Eu não consigo imaginas minha vida sem meus filhos 🥺assim como não consigo imaginar a dor de uma mãe que perde um,
julianadossantos5845,Até hoje quando vejo meu coração dói,14
fcoabreu7,"Que triste, não consigo nem assistir. 🥺",
renata_rodrigues60,😢,
____kaiany____,"Háaa, e sem dúvidas o que ela mais sente saudade também é o seu!",9
nayyaramaura,🥹🥹🥹,
dami.lacos,Sim 😭😭😭😭,
meire.sousa72,"Também sinto uma dor enorme,como se Izabela fosse minha filha 😭😭😭💔, que Deus tenha nosso anjinho em um lindo lugar 🙏😢🌟🌟🌟✨✨✨✨✨🌷🌷🌷🌷🌷",2
dricavemk,💔,
bruholliver,😢💔,
beck_gw22,🥺,4
mkssaraiva_,😢,
veramariacodeceira,💔,
_lilafadoni,💔😢,3
defensorjoelma,😢😢💔💔💔,
sarinha_almeida2023,😢,
ozaniaresende,💔 chega dói ver esse vídeo 😢,2
jujumorena07,🥹,
acrismari,😢😢😢,
emerelianabarbosa,😢😢,
amanda_vilelamg,💔🙏😕,3
tamarabezerra,"🤍 Me faltam palavras. Muito difícil relembrar o caso da Isabela sem se emocionar. Com toda certeza Deus tem carregado a Ana nos braços, a força dela transcende qlq entendimento sobre superação. Tenho uma filha de 4 aninhos e eu não consigo, nem de longe, me imaginar sem ela nos meus braços.",
marcinhacm_,💔❤️,
renataberaldopp,❤️❤️❤️❤️😍,
bellissimoaline,😍❤️😍❤️😍,1
vitoriahandradeee,😢🥺❤️,
erikamarcio,😢😢😢😢😢😢😢😢😢❤️❤️,
andreadepaula1974,😢😢,3
helendalbosco,😭💔😭💔😭💔,
tata.chica.5,😭eu imagino tamanha dor,
lourdes.groppo.5,😢😢,1
geanegalindo02,😢😢😭,
_ludmillaluna,Aff 💔,
larisseoliveira_,"@salve.valentina.mae @angelica_maedoarthur
Ajuda elas e o caso Fiorella tbm ❤️",5
valquiria.crs,Como era linda.😭😭😭💔💔,
talitamoreno2,Isabela❤️,
fabia.nuneskiury,Credo é muito sofrimento 😭💔,2
cris_ferj,"Muito triste o que aconteceu, eu tenho uma filha e sou separada e me coloquei no seu lugar .",
bete_unhas_e_depilacoes,@anacarolinaoliveira_oficial,
matos.beka,Eu não imagino a saudade dessa mãe.,21
sandrabassotto,😭😭😭,
maria_francisca_09,😢,
re_mangolin,😭💔,
jaaque__santos,Eu sinto saudades sem nem ao menos ter visto e na época de tudo ter apenas 8 anos eu me abalei profundamente com o caso dela que saudade dela de tudo oque ela estaria vinhedo agora…. De como ela estaria,
sionemsetubal,Sinto até hoje e me emociono 😭,1
janealexandre40,😭 não sei o que dizer 😭,
rosanaoliveira2348,Que abraço verdadeiro da neném na mamae,1
rosanaoliveira2348,Lindas sempre será,
jordana_cossta,🥺🥺🥺🥺,
demetriojosefa,"A dor é infinita, a minha filha partiu aos seis aninhos, cada dia a saudade aumenta😭",1
patycampinhos,😭,
ritamartiliano,😢😢😢💔,1
rosangela.cdls,Sempre me emociono vendo o carinho de vocês duas ❤️,
marquesariete,😢😢😢😍💔,1
mariaglauberlenedebrito,Uma dor inexplicável 💔,
lilian_cmuller,💔,1
emidialeitede,O abraço da minha mãe amada,
emidialeitede,"Acompanho vc , pq sua dor no início do crime bárbaro com sua Isabella foi minha e de milhões de pessoas por esse mundo afora!
Nunca deveriam ter ganhado a liberdade 🥲 São uns 👹 HUMANOS.
Mas, aqui se faz, aqui se paga!",1
andrezatavareess,😭😭💔❤️,
vanilzagomesferreira,💔,1
vanianailsbrows,Só Deus para trazer o conforto 💔,
danieldasilva4358,"Ao ver essa cena sinto uma tristeza profunda, sem dúvidas é uma dor incomensurável, eu não me confirmaria nunca. Que Deus lhe der bastante forças.",1
marcia.estelaalves,Incrível esse amor de mãe ele é contagiante a gente ama Isa sem conhecer ela pessoalmente. Não consigo deixar de me emocionar cada vez que vejo algo sobre ela 🥺. Parece que somos tão próximas 💔,
rachel0222silva,Me,1
priscilaserafim47,"Chorei agora, não deve ser nada fácil.",
hist.deise,❤️ nossa menina,1
gerlandiamk123,💔,
bruemendonca_,😢😭,1
angelicasilva_83,"Anjinho que todas nós mães ,mesmo sem conhecê la ,ficamos arrasadas por dentro💔",
avilalaura1,Isabela inesquecível 😭saudade,1
talita.severo_2,🥺🥺🥺🥺❤️,
meireartemdf,Eu tenho tanta saudade dela 😢,1
pattysoare,😢💔,
anapgolombieski,❤️que lindas. É muito amor e respeito por elas❤️❤️,1
fatimareginaf,Deixa esse anjo em paz ! Meu Deus ! Deixa ela ficar na luz . Superar não ! Mas pare de falar dela .,
andressa.avellar_,🥺🥺🥺❤️❤️,2
anapaulaolivercosta,😭💔,
anapaulaolivercosta,"Essa princesinha está em nossas memórias para sempre, e amamos ela como se nós tovesse convivido com ela",2
franciscacarvalhomoura,😭,
_danicmachado,🥺🥺🥺,
samarasamylle,"Se dói aqui,imagina aí!! 😭💔",2
lubarreto.25,Não dá para superar nunca a partida dessa pequena! 😭😭😭😭,
rosaramos1349,Emocionante ver esse vídeo😭😭,
sillas5136,Vídeo muito lindo bastante emocionante 😭😭,1
mariadosocorroda106,😭😭😭💔,
ninamaria59,😭💔,
maria891_,"Ela está bem ,esta com o grande Deus pai Celestial",4
vanuzamatheus28,😢,
uberlandiafbela,😢😢😢😢😢😢😢😢,1
cirene.santos,😢😢eu choro quando vejo vc e sua princesinha a é muito triste.😢,
dioneidemorais,😢😢😢😢,
dioneidemorais,Até hoje quando vejo choro,1
alinemarques7197,💔😢,
geanearaujo_oficial,😢😢,
maisabel3300,😭,1
diasvirtu,😢🙌,
_deia.cenci,"Sim, um abraço q na verdade nem consegui dar 💔😢",2
aldaci.oliveira.754,🥺,
vilmamsilva2012,😢😢😢,
jeannetteparzanese,😭Até hoje dentre tantas ainda dói.Isabela um pouco filha de todas mães de verdade.,1
margaretabras,"Nem o Tempo acaba com sdds ! Uma Imagem linda e tb, ao mesmo tempo triste de saber que nunca mais vai ter esse aconchego de um abraço 💞💞🥲🥲",
_iraci.ferreira_,😭💔 o abraço,1
fabianoadevania,❤️😭😭,
carolina_dacruz,Sempre q vejo vc e ela choro 😢😭 triste parti tão cedo,1
karolinelira7,"Dói a nossa alma, ferida que nunca cicatriza🥺😔 Meus profundos sentimentos a todos os pais que sofrem com a partida de um filho, Deus cure a nossa alma😭😭💔💔💔",
marcia.correia77,💔💔💔💔💔💔,1
crissborcem,😔,
zipugliese,💔😢,
shirlene_leninha,🥰🥰,
tatibap,😢😢😢,2
cristinalancaster51,Dá uma dor no peito da gente 😢 que Deus te abençoe sempre Ana ! A Isabela está com Deus 🙏🏼❤️,
ataldatata09,HOJE ELA SERIA UMA MULHER LINDA 😍😍.QUE DEUS CONFORTE TEU CORAÇÃO MÃEZINHA ❤️❤️🙌🙌,1
suzybacelar,😭💔🙏⚘️✨️🌟,
lilianbarcellos73,😭😭😭😭😭😭😭,
primorango1,😭😭😭💔💔💔,
primorango1,Essa doeu das em mim 🥺🥺🥺,
